english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
all,English,5,true,palm,false,true,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_down,Y_down,Y_down true false,Y_down_Hs,0,BSL,WestEuro,BSL
animal,English,5,true,palm,true,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false true,Y_down_Or,0,BSL,WestEuro,BSL
bad,English,I,false,ulnar_side,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
because,English,1,false,radial_side,true,false,false,false,right,false,false,false,false,0,Torso_top,torso,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
bird,English,L,false,heel,true,true,false,false,right,false,false,false,false,0,mouth,head,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
black,English,S_b,false,finger_fronts,false,false,false,false,right,false,false,false,false,0,cheek,head,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
blood,English,1,false,tip,false,false,false,false,right,false,false,false,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,1,BSL,WestEuro,BSL
boring,English,E,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,chin,head,Z_back,Z_back,Z_back false false,Z_back,0,BSL,WestEuro,BSL
brother,English,S_b,true,heel,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
bug,English,5_nb,false,tip,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front true false,Z_front_Hs,0,BSL,WestEuro,BSL
cat,English,5,true,tip,false,false,false,false,right,false,false,false,false,1,mouth,head,X_right,X_right,X_right false false,X_right,0,BSL,WestEuro,BSL
child,English,E,false,palm,false,false,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
correct,English,A,false,heel,true,false,false,false,right,false,false,false,false,0,palm,hand,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
count,English,5,true,tip,true,true,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_up,Y_up,Y_up true false,Y_up_Hs,0,BSL,WestEuro,BSL
dance,English,V,true,ulnar_side,true,false,true,false,right,false,false,false,false,1,Horizontal,Horizontal,X_left,X_left,X_left false true,X_left_Or,0,BSL,WestEuro,BSL
day,English,E,true,tip,false,false,false,false,right,false,false,false,false,1,Torso_mid,torso,Y_up,Y_up,Y_up false false,Y_up,0,BSL,WestEuro,BSL
die,English,H,true,finger_fronts,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
dirty,English,5_nb,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
dog,English,H,true,tip,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
dry,English,U_b,true,tip,false,true,false,false,right,false,false,false,false,1,cheek,head,Y_down,Y_down,Y_down true false,Y_down_Hs,0,BSL,WestEuro,BSL
dust,English,5_b,true,tip,false,true,false,true,right,false,false,true,false,1,Lateral,Lateral,true false,Hs_Change,true false,Hs,1,BSL,WestEuro,BSL
earth,English,B,true,radial_side,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
egg,English,1_nb,false,ulnar_side,true,false,false,false,right,false,false,false,false,0,radial_side,hand,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
father,English,H,false,finger_fronts,true,false,false,false,right,false,false,false,false,0,back_of_fingers,hand,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
feather,English,U_b,true,tip,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
fire,English,S_b,true,finger_fronts,false,true,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_up,Y_up,Y_up true false,Y_up_Hs,0,BSL,WestEuro,BSL
fish,English,B_b,false,radial_side,true,true,false,false,right,false,false,false,false,0,chin,head,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
flower,English,L_enb,false,tip,false,false,false,false,right,false,false,false,false,0,lip,head,X_right,X_right,X_right false false,X_right,0,BSL,WestEuro,BSL
full,English,B,false,back_of_palm,false,false,false,false,right,false,false,false,false,0,palm,hand,Y_up,Y_up,Y_up false false,Y_up,0,BSL,WestEuro,BSL
good,English,A,false,finger_fronts,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
grass,English,5,false,back_of_palm,false,true,false,false,right,false,false,false,false,0,forearm_front,arm,X_right,X_right,X_right true false,X_right_Hs,0,BSL,WestEuro,BSL
grease,English,5_b,true,tip,true,true,false,false,right,false,false,false,false,1,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
green,English,S,false,ulnar_side,true,false,false,false,right,false,false,false,false,0,radial_side,hand,Z_front,Z_front,Z_front false false,Z_front,0,BSL,WestEuro,BSL
heavy,English,5,true,back_of_palm,true,false,false,false,right,false,false,false,false,1,Horizontal,Horizontal,Y_down,Y_down,Y_down false false,Y_down,0,BSL,WestEuro,BSL
how,English,5,true,back_of_fingers,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_left,X_left,X_left false false,X_left,0,BSL,WestEuro,BSL
husband,English,L_eb,false,tip,false,false,false,true,right,false,false,false,false,0,back_of_fingers,hand,X_left,X_left,X_left false false,X_left,1,BSL,WestEuro,BSL
ice,English,5,true,tip,false,true,false,false,right,false,false,false,false,1,Horizontal,Horizontal,true false,Hs_Change,true false,Hs,0,BSL,WestEuro,BSL
if,English,1,false,tip,false,false,false,false,right,false,false,false,false,0,finger_fronts,hand,Y_down,Y_down,Y_down false false,Y_down,1,BSL,WestEuro,BSL
