english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,annotator,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL,,
all,German,5,true,radial_side,false,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
animal,German,5_nb,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
bad,German,E,false,palm,false,true,false,false,right,false,false,false,false,carlo,0,Vertical,Vertical,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
because,German,1,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,Vertical,Vertical,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,DGS,WestEuro,DGS
bird,German,E,true,palm,true,false,true,false,right,false,false,false,false,carlo,1,Vertical,Vertical,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
black,German,5_b,false,radial_side,false,true,false,false,right,false,false,false,false,carlo,0,forehead,head,X_left,X_left,X_left,true,false,X_left_Hs,0,DGS,WestEuro,DGS
blood,German,E,false,back_of_fingers,false,false,false,false,right,false,false,false,false,carlo,0,finger_fronts,hand,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
boring,German,A,false,tip,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
brother,German,1,true,radial_side,true,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
bug,German,5_nb,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Z_front,Z_front,Z_front,true,false,Z_front_Hs,0,DGS,WestEuro,DGS
cat,German,L_eb,false,tip,true,false,false,false,right,false,false,false,false,carlo,0,cheek,head,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
child,German,E,false,palm,false,false,false,false,right,false,false,false,false,carlo,0,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
correct,German,V,true,ulnar_side,false,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
count,German,1,false,ulnar_side,true,false,false,false,right,false,false,false,false,carlo,0,radial_side,hand,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
dance,German,L_bnb,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
day,German,E_bnb,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,below_chin,head,Y_down,Y_down,Y_down,true,false,Y_down_Hs,0,DGS,WestEuro,DGS
die,German,E,false,back_of_palm,false,false,true,false,right,false,false,false,false,Annotator,0,Horizontal,Horizontal,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
dirty,German,A,false,back_of_fingers,true,false,false,false,right,false,false,false,false,carlo,0,nose,head,X_left,X_left,X_left,false,false,X_left,0,DGS,WestEuro,DGS
dog,German,E,true,back_of_fingers,true,true,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,true,false,Hs_Change,true,false,Hs,0,DGS,WestEuro,DGS
dry,German,E_b,true,tip,false,true,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,X_right,X_right,X_right,true,false,X_right_Hs,0,DGS,WestEuro,DGS
dust,German,5_nb,true,tip,false,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
earth,German,5,true,radial_side,false,false,true,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Z_front,Z_front,Z_front,false,true,Z_front_Or,0,DGS,WestEuro,DGS
egg,German,L_nb,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,Lateral,Lateral,false,true,Or_Change,false,true,Or,0,DGS,WestEuro,DGS
father,German,V,false,back_of_fingers,false,false,true,false,right,false,false,false,false,carlo,0,chin,head,Y_up,Y_up,Y_up,false,true,Y_up_Or,0,DGS,WestEuro,DGS
feather,German,L_b,false,finger_fronts,true,true,false,false,right,false,false,false,false,carlo,0,tip,hand,X_right,X_right,X_right,true,false,X_right_Hs,0,DGS,WestEuro,DGS
fire,German,5,true,palm,true,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
fish,German,E,false,tip,false,false,true,false,right,false,false,false,false,carlo,0,Lateral,Lateral,X_left,X_left,X_left,false,true,X_left_Or,0,DGS,WestEuro,DGS
flower,German,S,false,back_of_palm,false,true,false,false,right,false,false,false,false,carlo,0,palm,hand,Y_up,Y_up,Y_up,true,false,Y_up_Hs,0,DGS,WestEuro,DGS
full,German,B,false,back_of_palm,false,false,false,false,right,false,false,false,false,carlo,0,palm,hand,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
good,German,L_enb,true,tip,false,false,false,false,right,false,false,false,false,carlo,1,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
grass,German,1,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
grease,German,5,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
green,German,I,true,tip,true,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
heavy,German,S,true,back_of_palm,false,false,false,false,right,false,false,false,false,carlo,1,Horizontal,Horizontal,Y_up,Y_up,Y_up,false,false,Y_up,0,DGS,WestEuro,DGS
how,German,Y,true,ulnar_side,false,false,false,false,right,false,false,false,false,carlo,1,Lateral,Lateral,X_right,X_right,X_right,false,false,X_right,0,DGS,WestEuro,DGS
husband,German,I,false,ulnar_side,false,false,false,false,right,false,false,true,false,carlo,0,back_of_fingers,hand,X_left,X_left,X_left,false,false,X_left,1,DGS,WestEuro,DGS
ice,German,S,false,radial_side,true,false,true,false,right,false,false,false,false,carlo,0,mouth,head,Y_down,Y_down,Y_down,false,true,Y_down_Or,0,DGS,WestEuro,DGS
if,German,1,false,tip,false,false,false,false,right,false,false,false,false,carlo,0,nose,head,Z_back,Z_back,Z_back,false,false,Z_back,0,DGS,WestEuro,DGS
kill,German,1_nb,false,tip,false,false,false,false,right,false,false,false,false,Annotator,0,Vertical,Vertical,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
laugh,German,L,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,Y_down,Y_down,Y_down,false,false,Y_down,0,DGS,WestEuro,DGS
leaf,German,L_b,false,tip,false,true,false,false,right,false,false,false,false,carlo,0,tip,hand,Z_front,Z_front,Z_front,true,false,Z_front_Hs,0,DGS,WestEuro,DGS
lie,German,1,false,finger_fronts,true,false,false,false,right,false,false,false,false,carlo,0,chin,head,Z_front,Z_front,Z_front,false,false,Z_front,0,DGS,WestEuro,DGS
