english,language,handshape,twohands,handpart,mmvrepeated,dmvhandshape,dmvorientation,compound,domhand,twohandsC,mmvcrepeated,dmvchandshape,dmvcorientation,TwoH,PoA,PoA2,Mov,Mov2,Mov3,Mov4,Compounds,hist,geo,SL
all,Lithuanian,5_b,true,radial_side,false,false,false,false,right,false,false,false,false,1,Lateral,Lateral,X_right,X_right,X_right false false,X_right,0,RSL,EastEuro,LitSL
animal,Lithuanian,4_nb,false,tip,true,false,true,false,right,false,false,false,false,0,waist,torso,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
bad,Lithuanian,I,false,ulnar_side,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
because,Lithuanian,I,false,ulnar_side,false,false,false,false,right,false,false,false,false,0,Vertical,Vertical,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
bird,Lithuanian,L,false,back_of_palm,true,true,false,false,right,false,false,false,false,0,mouth,head,true false,Hs_Change,true false,Hs,0,RSL,EastEuro,LitSL
black,Lithuanian,E,false,finger_fronts,false,false,true,false,right,false,false,false,false,0,forehead,head,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
blood,Lithuanian,5,false,back_of_palm,true,false,false,false,right,false,false,false,false,0,back_of_palm,hand,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
boring,Lithuanian,U_nb,false,tip,false,false,false,false,right,false,false,false,false,0,nose,head,Y_down,Y_down,Y_down false false,Y_down,0,RSL,EastEuro,LitSL
brother,Lithuanian,1,true,radial_side,true,false,false,false,right,false,false,false,false,1,Lateral,Lateral,Z_front,Z_front,Z_front false false,Z_front,0,RSL,EastEuro,LitSL
bug,Lithuanian,5_nb,false,tip,false,true,false,false,right,false,false,false,false,0,Horizontal,Horizontal,Z_front,Z_front,Z_front true false,Z_front_Hs,0,RSL,EastEuro,LitSL
cat,Lithuanian,L_enb,true,tip,true,false,false,false,right,false,false,false,false,1,cheek,head,Z_back,Z_back,Z_back false false,Z_back,0,RSL,EastEuro,LitSL
child,Lithuanian,Q,false,heel,false,false,true,false,right,false,false,false,false,0,Lateral,Lateral,false true,Or_Change,false true,Or,0,RSL,EastEuro,LitSL
correct,Lithuanian,L_enb,true,ulnar_side,false,false,true,false,right,false,false,false,false,1,Vertical,Vertical,Y_down,Y_down,Y_down false true,Y_down_Or,0,RSL,EastEuro,LitSL
