"X","Language","Meaning","C1","V1","C2","V2"
1,"Mẽbêngôkre","FARM","p","u","r","∅"
2,"Mẽbêngôkre","FISH","t","e","p","∅"
3,"Mẽbêngôkre","POUR","k","a","p","ĩ"
4,"Mẽbêngôkre","PATH","p","∅","r","y"
5,"Mẽbêngôkre","COVER","p","∅","r","o"
6,"Mẽbêngôkre","WIFE","p","∅","r","õ"
7,"Mẽbêngôkre","MACAW","m","ə","n","∅"
8,"Mẽbêngôkre","SUN","m","y","t","∅"
9,"Mẽbêngôkre","GO (PLURAL)","m","õ","r","∅"
10,"Mẽbêngôkre","SEE","p","u","m","ũ"
11,"Mẽbêngôkre","NECK","m","u","t","∅"
12,"Mẽbêngôkre","GOOD","m","e","c","∅"
13,"Mẽbêngôkre","HONEY","m","e","ñ","∅"
14,"Mẽbêngôkre","THROW","m","ẽ","ñ","∅"
15,"Mẽbêngôkre","WALK (SINGULAR)","m","∅","r","ã"
16,"Mẽbêngôkre","THROW (SINGULAR)","k","a","b","a"
17,"Mẽbêngôkre","WHISTLE","∅","a","b","ô"
18,"Mẽbêngôkre","NON-INDIGENOUS","k","u","b","ẽ"
19,"Mẽbêngôkre","SCRATCH","b","ê","ñ","∅"
20,"Mẽbêngôkre","BLOW","w","a","b","ê"
21,"Mẽbêngôkre","MOVE UP","w","a","b","i"
22,"Mẽbêngôkre","KILL (SINGULAR)","b","ĩ","r","∅"
23,"Mẽbêngôkre","DIE","t","y","k","∅"
24,"Mẽbêngôkre","GO OUT","k","a","t","o"
25,"Mẽbêngôkre","BE BORN","k","a","t","o"
26,"Mẽbêngôkre","PISS","∅","i","t","u"
27,"Mẽbêngôkre","ROTTEN","k","∅","ɾ","ɔ"
28,"Mẽbêngôkre","GO (SINGULAR)","t","ẽ","m","∅"
29,"Mẽbêngôkre","BURN","c","ê","r","∅"
30,"Mẽbêngôkre","SQUEEZE","j","a","n","ê"
31,"Mẽbêngôkre","ALL","k","u","n","i"
32,"Mẽbêngôkre","WING","j","a","r","a"
33,"Mẽbêngôkre","IMAGE","k","a","r","õ"
34,"Mẽbêngôkre","SPIRIT","k","a","r","õ"
35,"Mẽbêngôkre","THROW (PLURAL)","r","ẽ","ñ","∅"
36,"Mẽbêngôkre","TELL","j","a","r","ẽ"
37,"Mẽbêngôkre","LOOK","r","ĩ","t","∅"
38,"Mẽbêngôkre","BASKET","k","a","c","∅"
39,"Mẽbêngôkre","BIG BIRD","∅","ə","k","∅"
40,"Mẽbêngôkre","FALCON","∅","ə","k","∅"
41,"Mẽbêngôkre","FIRE","k","∅","w","y"
42,"Mẽbêngôkre","PAINT","ʔ","ô","k","∅"
43,"Mẽbêngôkre","CHILD","j","a","∅","ê"
44,"Mẽbêngôkre","LIE","ʔ","ê","c","∅"
45,"Mẽbêngôkre","BITE","ñ","ã","ñ","∅"
46,"Mẽbêngôkre","HANG (SINGULAR)","ñ","ô","r","∅"
47,"Mẽbêngôkre","ENTER (SINGULAR)","w","a","ĵ","ə"
48,"Mẽbêngôkre","BE SEATED (SINGULAR)","ñ","ỹ","r","∅"
49,"Mẽbêngôkre","TOOTH","ĵ","∅","w","a"
50,"Mẽbêngôkre","PLACE LAYING DOWN (SINGULAR)","ĵ","i","r","∅"
51,"Mẽbêngôkre","SWEET POTATO","j","ə","t","∅"
52,"Mẽbêngôkre","WHO","ñ","ỹ","m","∅"
53,"Mẽbêngôkre","SING (BIRDS)","k","ə","r","∅"
54,"Mẽbêngôkre","AXE","k","ə","c","∅"
55,"Mẽbêngôkre","KNIFE","k","ə","c","∅"
56,"Mẽbêngôkre","DRINK","∅","i","k","õ"
57,"Mẽbêngôkre","THIRST","k","ɔ","ɾ","∅"
58,"Mẽbêngôkre","EAT (PLURAL)","k","u","ɾ","∅"
